
ศ์ÿ ๎แ๐เ็เ                     PID ศ์ÿ ๑ๅ๑๑่่          น ๑ๅเํ๑เ       ฯเ์ÿ๒ü ั๎๑๒๎ÿํ่ๅ       ฯ๎๋ü็๎โเ๒ๅ๋ü                                           ย๐ๅ์ÿ ึฯ วเใ๎๋๎โ๎๊ ๎๊ํเ                                                          
svchost.exe                   4076 Services                   0     3 832 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
dasHost.exe                   3024 Services                   0     1 188 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   4208 Services                   0     5 580 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
lmgrd.exe                     4344 Services                   0     1 236 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
conhost.exe                   4632 Services                   0     3 020 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
lmgrd.exe                     4692 Services                   0     3 000 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   4772 Services                   0     3 648 สม Unknown         อ/ฤ                                                     0:00:01 อ/ฤ                                                                     
postgres.exe                  4880 Services                   0     2 516 สม Unknown         อ/ฤ                                                     0:00:06 อ/ฤ                                                                     
conhost.exe                   4888 Services                   0     2 616 สม Unknown         อ/ฤ                                                     0:00:02 อ/ฤ                                                                     
postgres.exe                  5308 Services                   0     1 152 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   5592 Services                   0     4 152 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                    520 Services                   0    11 896 สม Unknown         อ/ฤ                                                     0:00:05 อ/ฤ                                                                     
svchost.exe                    928 Services                   0     3 416 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   5848 Services                   0    10 812 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
NisSrv.exe                    8360 Services                   0     8 784 สม Unknown         อ/ฤ                                                     0:00:15 อ/ฤ                                                                     
postgres.exe                  5488 Services                   0     1 424 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
postgres.exe                  5888 Services                   0     1 356 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
postgres.exe                  4764 Services                   0     1 232 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
postgres.exe                  3784 Services                   0     2 392 สม Unknown         อ/ฤ                                                     0:00:08 อ/ฤ                                                                     
postgres.exe                  5632 Services                   0     1 836 สม Unknown         อ/ฤ                                                     0:00:25 อ/ฤ                                                                     
postgres.exe                  8960 Services                   0     1 716 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   6560 Services                   0     8 284 สม Unknown         อ/ฤ                                                     0:00:03 อ/ฤ                                                                     
SecurityHealthService.exe     9300 Services                   0    14 220 สม Unknown         อ/ฤ                                                     0:00:05 อ/ฤ                                                                     
svchost.exe                   9988 Services                   0    14 860 สม Unknown         อ/ฤ                                                     0:00:05 อ/ฤ                                                                     
svchost.exe                   6832 Services                   0     9 224 สม Unknown         อ/ฤ                                                     0:00:12 อ/ฤ                                                                     
svchost.exe                   8780 Services                   0    12 208 สม Unknown         อ/ฤ                                                     0:00:01 อ/ฤ                                                                     
svchost.exe                  10404 Services                   0    52 508 สม Unknown         อ/ฤ                                                     0:21:40 อ/ฤ                                                                     
svchost.exe                  10452 Services                   0     4 900 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                  11500 Services                   0    12 772 สม Unknown         อ/ฤ                                                     0:00:14 อ/ฤ                                                                     
svchost.exe                  11968 Services                   0     6 376 สม Unknown         อ/ฤ                                                     0:00:32 อ/ฤ                                                                     
SgrmBroker.exe                3012 Services                   0     5 704 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   3644 Services                   0    20 824 สม Unknown         อ/ฤ                                                     0:00:07 อ/ฤ                                                                     
MoUsoCoreWorker.exe           3684 Services                   0    61 216 สม Unknown         อ/ฤ                                                     0:01:01 อ/ฤ                                                                     
svchost.exe                   3696 Services                   0     5 496 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                  13248 Services                   0    24 912 สม Unknown         อ/ฤ                                                     0:00:07 อ/ฤ                                                                     
MpCopyAccelerator.exe         6920 Services                   0     2 516 สม Unknown         อ/ฤ                                                     0:00:06 อ/ฤ                                                                     
svchost.exe                  10524 Services                   0     2 612 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   9844 Services                   0     3 212 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   8304 Services                   0     2 740 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                    948 Services                   0     1 608 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   9600 Services                   0     1 212 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                  10380 Services                   0     2 156 สม Unknown         อ/ฤ                                                     0:00:00 อ/ฤ                                                                     
svchost.exe                   3036 Services                   0     5 872 สม Unknown         อ/ฤ                                                     0:00:02 อ/ฤ                                                                     
svchost.exe                   1352 Services                   0    34 976 สม Unknown         อ/ฤ                                                     0:00:05 อ/ฤ                                                                     
